,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
0,1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Mary,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
1,2,You must’ve had your hands full.,Camila,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
2,3,That I did. That I did.,Mary,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
3,4,So let’s talk a little bit about your duties.,Camila,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
4,5,My duties?  All right.,Mary,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
5,6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",Camila,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
6,7,I see.,Mary,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
7,8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,Camila,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
8,9,Good to know.,Mary,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
9,10,We can go into detail,Camila,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
10,11,No don’t I beg of you!,Mary,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
11,12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",Camila,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
12,13,Really?!,Mary,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
13,14,Absolutely.  You can relax,Camila,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
14,15,But then who? The waitress I went out with last month?,Luna,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
15,16,You know? Forget it!,Scarlett,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
16,17,"No-no-no-no, no! Who, who were you talking about?",Luna,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
17,18,"No, I-I-I-I don't, I actually don't know",Scarlett,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,19,Ok!,Luna,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,20,"All right, well...",Luna,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,23,"Yeah, sure!",Scarlett,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,24,"Hey, Mon.",Mary,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
