,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
0,1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,James,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
1,2,You must’ve had your hands full.,John,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
2,3,That I did. That I did.,James,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
3,4,So let’s talk a little bit about your duties.,John,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
4,5,My duties?  All right.,James,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
5,6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",John,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
6,7,I see.,James,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
7,8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,John,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
8,9,Good to know.,James,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
9,10,We can go into detail,John,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
10,11,No don’t I beg of you!,James,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
11,12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",John,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
12,13,Really?!,James,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
13,14,Absolutely.  You can relax,John,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
14,15,But then who? The waitress I went out with last month?,Robert,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
15,16,You know? Forget it!,Michael,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
16,17,"No-no-no-no, no! Who, who were you talking about?",Robert,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
17,18,"No, I-I-I-I don't, I actually don't know",Michael,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,19,Ok!,Robert,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,20,"All right, well...",Robert,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,23,"Yeah, sure!",Michael,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,24,"Hey, Mon.",James,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
22,25,Hey-hey-hey. You wanna hear something that sucks.,William,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
23,26,Do I ever.,James,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
24,27,Chris says they’re closing down the bar.,William,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
25,28,No way!,James,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
26,29,"Yeah, apparently they’re turning it into some kinda coffee place.",William,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
27,30,Just coffee! Where are we gonna hang out now?,James,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
28,31,Got me.,William,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
29,32,Can I get a beer.,James,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
30,33,"Hey, did you pick a roommate?",William,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
31,34,You betcha!,James,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
32,35,Is it the Italian guy?,William,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
33,36,"Um-mm, yeah right!",James,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
34,37,"Oh my God, oh my God! Poor Monica!",David,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
35,38,"What, what, what?!",James,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
36,39,What?!,David,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
37,40,He was with her when he wrote this poem.,David,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
38,41,"Look,  'My vessel so empty with nothing inside.",David,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
39,42,"Now that I've touched you, you seem emptier still.'",David,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
40,43,"He thinks Monica is empty, she is the empty vase!",David,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
41,45,"Oh, totally. Oh, God, oh, she seemed so happy too.",David,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
42,46,Done.,Robert,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
43,47,Hey!,Michael,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
44,48,Hi!,Richard,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
45,49,What are you doing here?,Michael,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
46,50,"Ah y'know, this building is on my paper route so I...",Richard,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
47,51,Oh.,Michael,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
48,52,Hi.,Richard,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
49,53,Hi.,Michael,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
50,54,How’d did it go?,Richard,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
51,55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Michael,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
52,56,I’m so proud of you.,Richard,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
53,57,Me too!,Michael,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
54,58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Richard,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
55,59,I know.,Michael,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
56,60,Yeah.,Richard,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
57,61,Yeah.,Michael,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
58,62,Ameri-can.,David,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
59,63,Ameri-ccan.,Robert,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
60,64,Ameri-can. Y'know it’s a,David,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
61,65,Everybody!!,Charles,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
62,66,Good job Joe! Well done! Top notch!,James,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
63,67,You liked it? You really liked it?,Robert,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
64,68,"Oh-ho-ho, yeah!",James,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
65,69,Which part exactly?,Robert,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
66,70,The whole thing! Can we go?,James,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
